siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
331676221;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;OPI DES TESCOU'S;;;;;63.11Z;1;9220.0;;;;;;;;association;True;hebergement
331790220;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;PROMOTIQUE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
331984302;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;COMMUNICATION INFORMATION QUARTIERS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
332051010;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;EUROP UNIVERS OF AMERICA FRANC;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
332304534;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;VIDEOTEL 44 PROMO DEVEL VIDEO;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
332348341;ess_france|sirene;ess_numerique;siren_direct;;SERVIE PROJET REALI INSTIT NATION TELECO;;;;;62.02A;;;;;;;;;;;True;conseil_it
332480276;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;MEMOIRE DE LA DROME;;;;;63.11Z;1;9220.0;;;;;;;;association;True;hebergement
332508530;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;AAPCAO ASS AZUR PROMO CONCEP;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
332603646;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ETUDES PREHISTOIR ET HISTOIR PAYS LOIRE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
332690981;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;SISVAC;;;;;58.29C;NN;9220.0;;;;;;;;association;True;edition_logiciel
332711522;ess_france|sirene;ess_numerique;siren_direct;;TELECOM ETUDE;;;;;62.02A;;;;;;;;;;;True;conseil_it
332776210;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOC ARIOD AQUITAINE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
332947803;ess_france|sirene;ess_numerique;siren_direct;;COOPERATIVE INFORMATIQUE;;;;;62.02A;;;;;;;;;;;True;conseil_it
333073062;ess_france|sirene;ess_numerique;siren_direct;;SOCIETE D INFORMATIQUE DE GESTION ET DE COMMUNICATION;;;;;58.29C;;;;;;;;;;;True;edition_logiciel
333294403;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;A.I.H.T.I.;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
333533628;sirene;cate_juridique;siren_direct;;PROCESS INGENIERIE ETUDES REALISATIONS;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
333673218;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTR INFORM DOCUMENT AFRIQUE AUSTRALE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
333674422;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS PROMOT TECHNIQ INFORM INDUST GRAPHIQ;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
333785327;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;PIC-ORDI;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
